"tss_id"	"gene_symbol"	"chr"	"strand"	"promoter"	"position"	"transcripts"
"FAM102A_P2"	"FAM102A"	"chr9"	"-"	"P2"	127950689	"ENST00000373084"
"FAM102A_P1"	"FAM102A"	"chr9"	"-"	"P1"	127980989	"ENST00000373095"
"FAM102B_P1"	"FAM102B"	"chr1"	"+"	"P1"	108560100	"ENST00000370035"
"FAM104A_P1"	"FAM104A"	"chr17"	"-"	"P1"	73232279	"ENST00000403627"
"FAM104B_P1"	"FAM104B"	"chrX"	"-"	"P1"	55161166	"ENST00000332132"
"FAM107A_P1"	"FAM107A"	"chr3"	"-"	"P1"	58577388	"ENST00000360997"
"FAM107B_P2"	"FAM107B"	"chr10"	"-"	"P2"	14571999	"ENST00000622567"
"FAM107B_P1"	"FAM107B"	"chr10"	"-"	"P1"	14604401	"ENST00000468747"
"FAM110A_P1"	"FAM110A"	"chr20"	"+"	"P1"	833768	"ENST00000381941"
"FAM110A_P2"	"FAM110A"	"chr20"	"+"	"P2"	844643	"ENST00000505691"
"FAM110B_P1"	"FAM110B"	"chr8"	"+"	"P1"	57994523	"ENST00000519262"
"FAM110C_P1"	"FAM110C"	"chr2"	"-"	"P1"	46529	"ENST00000327669"
"FAM110D_P1"	"FAM110D"	"chr1"	"+"	"P1"	26159079	"ENST00000374268"
"FAM111A_P2"	"FAM111A"	"chr11"	"+"	"P2"	59142859	"ENST00000528737"
"FAM111A_P1"	"FAM111A"	"chr11"	"+"	"P1"	59144862	"ENST00000527629"
"FAM111B_P1"	"FAM111B"	"chr11"	"+"	"P1"	59107237	"ENST00000411426"
"FAM114A1_P1"	"FAM114A1"	"chr4"	"+"	"P1"	38867806	"ENST00000510213"
"FAM114A2_P1"	"FAM114A2"	"chr5"	"-"	"P1"	154038910	"ENST00000351797"
"FAM117A_P1"	"FAM117A"	"chr17"	"-"	"P1"	49764131	"ENST00000240364"
"FAM117B_P1"	"FAM117B"	"chr2"	"+"	"P1"	202634978	"ENST00000392238"
"FAM118A_P1"	"FAM118A"	"chr22"	"+"	"P1"	45309955	"ENST00000441876"
"FAM118B_P1"	"FAM118B"	"chr11"	"+"	"P1"	126211782	"ENST00000533050"
"FAM120A_P1"	"FAM120A"	"chr9"	"+"	"P1"	93451694	"ENST00000277165"
"FAM120AOS_P1"	"FAM120AOS"	"chr9"	"-"	"P1"	93451554	"ENST00000649557"
"FAM120AOS_P2"	"FAM120AOS"	"chr9"	"-"	"P2"	93453581	"ENST00000375412"
"FAM120B_P1"	"FAM120B"	"chr6"	"+"	"P1"	170306762	"ENST00000476287"
"FAM120C_P1"	"FAM120C"	"chrX"	"-"	"P1"	54183222	"ENST00000375180"
"FAM122A_P1"	"FAM122A"	"chr9"	"+"	"P1"	68780065	"ENST00000394264"
"FAM122B_P1"	"FAM122B"	"chrX"	"-"	"P1"	134797204	"ENST00000370790"
"FAM122C_P1"	"FAM122C"	"chrX"	"+"	"P1"	134807237	"ENST00000645433"
"FAM124A_P1"	"FAM124A"	"chr13"	"+"	"P1"	51222371	"ENST00000615498"
"FAM124B_P1"	"FAM124B"	"chr2"	"-"	"P1"	224402034	"ENST00000389874"
"FAM126A_P1"	"FAM126A"	"chr7"	"-"	"P1"	23014130	"ENST00000432176"
"FAM126B_P1"	"FAM126B"	"chr2"	"-"	"P1"	201071669	"ENST00000418596"
"FAM129A_P1"	"FAM129A"	"chr1"	"-"	"P1"	184974453	"ENST00000367511"
"FAM129B_P1"	"FAM129B"	"chr9"	"-"	"P1"	127569068	"ENST00000478917"
"FAM129B_P2"	"FAM129B"	"chr9"	"-"	"P2"	127579031	"ENST00000373314"
"FAM129C_P1"	"FAM129C"	"chr19"	"+"	"P1"	17527267	"ENST00000601861"
"FAM131A_P1"	"FAM131A"	"chr3"	"+"	"P1"	184335929	"ENST00000450976"
"FAM131A_P2"	"FAM131A"	"chr3"	"+"	"P2"	184337600	"ENST00000418768"
"FAM131B_P1"	"FAM131B"	"chr7"	"-"	"P1"	143362713	"ENST00000443739"
"FAM131C_P1"	"FAM131C"	"chr1"	"-"	"P1"	16073651	"ENST00000375662"
"FAM133A_P1"	"FAM133A"	"chrX"	"+"	"P1"	93674229	"ENST00000322139"
"FAM133B_P1"	"FAM133B"	"chr7"	"-"	"P1"	92590390	"ENST00000438306"
"FAM135A_P1"	"FAM135A"	"chr6"	"+"	"P1"	70413508	"ENST00000418814"
"FAM135B_P1"	"FAM135B"	"chr8"	"-"	"P1"	138497261	"ENST00000395297"
"FAM136A_P1"	"FAM136A"	"chr2"	"-"	"P1"	70302027	"ENST00000037869"
"FAM13A_P2"	"FAM13A"	"chr4"	"-"	"P2"	88823201	"ENST00000395002"
"FAM13A_P1"	"FAM13A"	"chr4"	"-"	"P1"	89057171	"ENST00000264344"
"FAM13B_P1"	"FAM13B"	"chr5"	"-"	"P1"	138033079	"ENST00000033079"
"FAM13C_P1"	"FAM13C"	"chr10"	"-"	"P1"	59362549	"ENST00000618804"
"FAM149A_P1"	"FAM149A"	"chr4"	"+"	"P1"	186144887	"ENST00000514829"
"FAM149B1_P1"	"FAM149B1"	"chr10"	"+"	"P1"	73168119	"ENST00000242505"
"FAM151A_P1"	"FAM151A"	"chr1"	"-"	"P1"	54623525	"ENST00000302250"
"FAM151B_P1"	"FAM151B"	"chr5"	"+"	"P1"	80488115	"ENST00000502608"
"FAM153A_P3"	"FAM153A"	"chr5"	"-"	"P3"	177714152	"ENST00000514899"
"FAM153A_P1"	"FAM153A"	"chr5"	"-"	"P1"	177717252	"ENST00000506011"
"FAM153A_P5"	"FAM153A"	"chr5"	"-"	"P5"	177723156	"ENST00000512544"
"FAM153A_P2"	"FAM153A"	"chr5"	"-"	"P2"	177780465	"ENST00000360669"
"FAM153A_P4"	"FAM153A"	"chr5"	"-"	"P4"	177783398	"ENST00000510276"
"FAM153B_P1"	"FAM153B"	"chr5"	"+"	"P1"	176061159	"ENST00000510151"
"FAM153C_P1"	"FAM153C"	"chr5"	"+"	"P1"	178006442	"ENST00000504530"
"FAM153C_P2"	"FAM153C"	"chr5"	"+"	"P2"	178008153	"ENST00000505394"
"FAM153C_P3"	"FAM153C"	"chr5"	"+"	"P3"	178030524	"ENST00000511856"
"FAM153C_P4"	"FAM153C"	"chr5"	"+"	"P4"	178048776	"ENST00000511511"
"FAM153C_P5"	"FAM153C"	"chr5"	"+"	"P5"	178052419	"ENST00000511819"
"FAM155A_P1"	"FAM155A"	"chr13"	"-"	"P1"	107867102	"ENST00000375915"
"FAM155B_P1"	"FAM155B"	"chrX"	"+"	"P1"	69505241	"ENST00000252338"
"FAM156A_P1"	"FAM156A"	"chrX"	"-"	"P1"	52995472	"ENST00000611661"
"FAM156B_ENST00000452154(W)"	"FAM156B"	"chrX"	"+"	"ENST00000452154(W)"	52891305	NA
"FAM156B_P1"	"FAM156B"	"chrX"	"+"	"P1"	52897341	"ENST00000610609"
"FAM160A1_P1"	"FAM160A1"	"chr4"	"+"	"P1"	151409176	"ENST00000508198"
"FAM160A2_P1"	"FAM160A2"	"chr11"	"-"	"P1"	6234636	"ENST00000449352"
"FAM160B1_P1"	"FAM160B1"	"chr10"	"+"	"P1"	114821790	"ENST00000369248"
"FAM160B2_P1"	"FAM160B2"	"chr8"	"+"	"P1"	22089192	"ENST00000498344"
"FAM161A_P1"	"FAM161A"	"chr2"	"-"	"P1"	61854044	"ENST00000456262"
"FAM161B_P1"	"FAM161B"	"chr14"	"-"	"P1"	73950094	"ENST00000286544"
"FAM162A_P1"	"FAM162A"	"chr3"	"+"	"P1"	122384182	"ENST00000232125"
"FAM162B_P1"	"FAM162B"	"chr6"	"-"	"P1"	116765695	"ENST00000368557"
"FAM163A_P1"	"FAM163A"	"chr1"	"+"	"P1"	179743291	"ENST00000341785"
"FAM163B_P2"	"FAM163B"	"chr9"	"-"	"P2"	133580246	"ENST00000356873"
"FAM163B_P1"	"FAM163B"	"chr9"	"-"	"P1"	133586129	"ENST00000496132"
"FAM166A_P1"	"FAM166A"	"chr9"	"-"	"P1"	137247750	"ENST00000471784"
"FAM166B_P1"	"FAM166B"	"chr9"	"-"	"P1"	35563878	"ENST00000492890"
"FAM167A_P1"	"FAM167A"	"chr8"	"-"	"P1"	11466753	"ENST00000284486"
"FAM167A_P2(W)"	"FAM167A"	"chr8"	"-"	"P2(W)"	11474694	NA
"FAM167B_P1"	"FAM167B"	"chr1"	"+"	"P1"	32247222	"ENST00000373582"
"FAM168A_P1"	"FAM168A"	"chr11"	"-"	"P1"	73598112	"ENST00000064778"
"FAM168B_P1"	"FAM168B"	"chr2"	"-"	"P1"	131093448	"ENST00000409185"
"FAM169A_P1"	"FAM169A"	"chr5"	"-"	"P1"	74866387	"ENST00000389156"
"FAM169B_P1"	"FAM169B"	"chr15"	"-"	"P1"	98514336	"ENST00000558256"
"FAM170A_P1"	"FAM170A"	"chr5"	"+"	"P1"	119629558	"ENST00000613773"
"FAM170B_P1"	"FAM170B"	"chr10"	"-"	"P1"	49134008	"ENST00000311787"
"FAM171A1_P1"	"FAM171A1"	"chr10"	"-"	"P1"	15371115	"ENST00000378116"
"FAM171A2_P1"	"FAM171A2"	"chr17"	"-"	"P1"	44363853	"ENST00000293443"
"FAM171B_P1"	"FAM171B"	"chr2"	"+"	"P1"	186694062	"ENST00000304698"
"FAM172A_P1"	"FAM172A"	"chr5"	"-"	"P1"	94111635	"ENST00000395965"
"FAM173A_P1"	"FAM173A"	"chr16"	"+"	"P1"	721146	"ENST00000569529"
"FAM173B_P1"	"FAM173B"	"chr5"	"-"	"P1"	10249888	"ENST00000280330"
"FAM174A_P1"	"FAM174A"	"chr5"	"+"	"P1"	100535374	"ENST00000312637"
"FAM174B_P1"	"FAM174B"	"chr15"	"-"	"P1"	92655775	"ENST00000327355"
"FAM177A1_P1"	"FAM177A1"	"chr14"	"+"	"P1"	35046366	"ENST00000382406"
"FAM177B_P2(W)"	"FAM177B"	"chr1"	"+"	"P2(W)"	222737213	NA
"FAM177B_P1"	"FAM177B"	"chr1"	"+"	"P1"	222739684	"ENST00000460763"
"FAM178B_P1"	"FAM178B"	"chr2"	"-"	"P1"	96895168	"ENST00000470789"
"FAM178B_P1P2(W)"	"FAM178B"	"chr2"	"-"	"P1P2(W)"	96986578	NA
"FAM180A_P1"	"FAM180A"	"chr7"	"-"	"P1"	135748813	"ENST00000435869"
"FAM180B_P1"	"FAM180B"	"chr11"	"+"	"P1"	47586693	"ENST00000538490"
"FAM181A_P2(W)"	"FAM181A"	"chr14"	"+"	"P2(W)"	93918934	NA
"FAM181A_P1"	"FAM181A"	"chr14"	"+"	"P1"	93927344	"ENST00000556222"
"FAM181B_P1"	"FAM181B"	"chr11"	"-"	"P1"	82733864	"ENST00000329203"
"FAM183A_P1"	"FAM183A"	"chr1"	"+"	"P1"	43147905	"ENST00000409337"
"FAM184A_P1"	"FAM184A"	"chr6"	"-"	"P1"	119078664	"ENST00000621231"
"FAM184B_P1"	"FAM184B"	"chr4"	"-"	"P1"	17781621	"ENST00000265018"
"FAM185A_P1"	"FAM185A"	"chr7"	"+"	"P1"	102749015	"ENST00000481697"
"FAM186A_P1"	"FAM186A"	"chr12"	"-"	"P1"	50396609	"ENST00000543111"
"FAM186B_P1"	"FAM186B"	"chr12"	"-"	"P1"	49605618	"ENST00000533372"
"FAM187B_P1"	"FAM187B"	"chr19"	"-"	"P1"	35228680	"ENST00000324675"
"FAM189A1_P1"	"FAM189A1"	"chr15"	"-"	"P1"	29570939	"ENST00000261275"
"FAM189A2_P1"	"FAM189A2"	"chr9"	"+"	"P1"	69325222	"ENST00000303068"
"FAM189B_P1"	"FAM189B"	"chr1"	"-"	"P1"	155255483	"ENST00000361361"
"FAM192A_P1"	"FAM192A"	"chr16"	"-"	"P1"	57186039	"ENST00000309137"
"FAM193A_P1"	"FAM193A"	"chr4"	"+"	"P1"	2536647	"ENST00000637812"
"FAM193A_ENST00000324666(W)"	"FAM193A"	"chr4"	"+"	"ENST00000324666(W)"	2625438	NA
"FAM193B_P1"	"FAM193B"	"chr5"	"-"	"P1"	177554563	"ENST00000514747"
"FAM198A_P1"	"FAM198A"	"chr3"	"+"	"P1"	42979340	"ENST00000273146"
"FAM198B_P2"	"FAM198B"	"chr4"	"-"	"P2"	158170688	"ENST00000593260"
"FAM198B_P1"	"FAM198B"	"chr4"	"-"	"P1"	158172373	"ENST00000296530"
"FAM199X_P1"	"FAM199X"	"chrX"	"+"	"P1"	104166525	"ENST00000493442"
"FAM19A1_P1"	"FAM19A1"	"chr3"	"+"	"P1"	68004247	"ENST00000478136"
"FAM19A2_P2(W)"	"FAM19A2"	"chr12"	"-"	"P2(W)"	62192784	NA
"FAM19A2_P1"	"FAM19A2"	"chr12"	"-"	"P1"	62260159	"ENST00000549379"
"FAM19A3_P1"	"FAM19A3"	"chr1"	"+"	"P1"	112720419	"ENST00000369630"
"FAM19A4_P1"	"FAM19A4"	"chr3"	"-"	"P1"	68932547	"ENST00000295569"
"FAM19A5_P1"	"FAM19A5"	"chr22"	"+"	"P1"	48489444	"ENST00000402357"
"FAM19A5_ENST00000358295(W)"	"FAM19A5"	"chr22"	"+"	"ENST00000358295(W)"	48576312	NA
"FAM200A_P1"	"FAM200A"	"chr7"	"-"	"P1"	99552114	"ENST00000449309"
"FAM200A_P2"	"FAM200A"	"chr7"	"-"	"P2"	99558493	"ENST00000408938"
"FAM200B_P1"	"FAM200B"	"chr4"	"+"	"P1"	15681827	"ENST00000510920"
"FAM204A_P1"	"FAM204A"	"chr10"	"-"	"P1"	118342320	"ENST00000369183"
"FAM205A_P1"	"FAM205A"	"chr9"	"-"	"P1"	34729468	"ENST00000378788"
"FAM205C_P1"	"FAM205C"	"chr9"	"-"	"P1"	34895764	"ENST00000340783"
"FAM206A_P1"	"FAM206A"	"chr9"	"+"	"P1"	108934415	"ENST00000322940"
"FAM207A_P1"	"FAM207A"	"chr21"	"+"	"P1"	44940031	"ENST00000291634"
"FAM208A_P1"	"FAM208A"	"chr3"	"-"	"P1"	56683265	"ENST00000493960"
"FAM208B_P1"	"FAM208B"	"chr10"	"+"	"P1"	5684838	"ENST00000328090"
"FAM209A_P1"	"FAM209A"	"chr20"	"+"	"P1"	56516873	"ENST00000481560"
"FAM209B_P1P2(W)"	"FAM209B"	"chr20"	"+"	"P1P2(W)"	56524738	NA
"FAM209B_P1"	"FAM209B"	"chr20"	"+"	"P1"	56533246	"ENST00000371325"
"FAM20A_P1"	"FAM20A"	"chr17"	"-"	"P1"	68601367	"ENST00000592554"
"FAM20B_P1"	"FAM20B"	"chr1"	"+"	"P1"	179025894	"ENST00000440702"
"FAM20C_P1"	"FAM20C"	"chr7"	"+"	"P1"	192571	"ENST00000313766"
"FAM210A_P1"	"FAM210A"	"chr18"	"-"	"P1"	13726558	"ENST00000322247"
"FAM210B_P1"	"FAM210B"	"chr20"	"+"	"P1"	56358974	"ENST00000371384"
"FAM214A_P1"	"FAM214A"	"chr15"	"-"	"P1"	52679365	"ENST00000566768"
"FAM214B_P2"	"FAM214B"	"chr9"	"-"	"P2"	35111452	"ENST00000603301"
"FAM214B_P1"	"FAM214B"	"chr9"	"-"	"P1"	35115850	"ENST00000378566"
"FAM216A_P1"	"FAM216A"	"chr12"	"+"	"P1"	110468898	"ENST00000538285"
"FAM216B_P1"	"FAM216B"	"chr13"	"+"	"P1"	42781615	"ENST00000537894"
"FAM217A_P1"	"FAM217A"	"chr6"	"-"	"P1"	4079130	"ENST00000274673"
"FAM217B_P1"	"FAM217B"	"chr20"	"+"	"P1"	59940389	"ENST00000360816"
"FAM218A_P1"	"FAM218A"	"chr4"	"+"	"P1"	164956978	"ENST00000513876"
"FAM219A_P1"	"FAM219A"	"chr9"	"-"	"P1"	34458570	"ENST00000379089"
"FAM219B_P1"	"FAM219B"	"chr15"	"-"	"P1"	74906816	"ENST00000357635"
"FAM220A_P1"	"FAM220A"	"chr7"	"-"	"P1"	6348967	"ENST00000313324"
"FAM221A_P1"	"FAM221A"	"chr7"	"+"	"P1"	23680203	"ENST00000409192"
"FAM221B_P1"	"FAM221B"	"chr9"	"-"	"P1"	35828732	"ENST00000388950"
"FAM222A_P1"	"FAM222A"	"chr12"	"+"	"P1"	109713825	"ENST00000538780"
"FAM222B_P2"	"FAM222B"	"chr17"	"-"	"P2"	28812415	"ENST00000452648"
"FAM222B_P1"	"FAM222B"	"chr17"	"-"	"P1"	28842783	"ENST00000581407"
"FAM227A_P1"	"FAM227A"	"chr22"	"-"	"P1"	38656392	"ENST00000535113"
"FAM227B_P1"	"FAM227B"	"chr15"	"-"	"P1"	49620816	"ENST00000299338"
"FAM228A_P1"	"FAM228A"	"chr2"	"+"	"P1"	24175087	"ENST00000456591"
"FAM228B_P1"	"FAM228B"	"chr2"	"+"	"P1"	24123469	"ENST00000615575"
"FAM229A_P1"	"FAM229A"	"chr1"	"-"	"P1"	32362092	"ENST00000432622"
"FAM229B_P1"	"FAM229B"	"chr6"	"+"	"P1"	112087634	"ENST00000368656"
"FAM234A_P1"	"FAM234A"	"chr16"	"+"	"P1"	234830	"ENST00000399932"
"FAM234B_P1"	"FAM234B"	"chr12"	"+"	"P1"	13044389	"ENST00000197268"
"FAM236A_P1"	"FAM236A"	"chrX"	"+"	"P1"	72938163	"ENST00000593662"
"FAM236B_P1"	"FAM236B"	"chrX"	"-"	"P1"	72782660	"ENST00000596535"
"FAM236C_P1"	"FAM236C"	"chrX"	"+"	"P1"	72912615	"ENST00000636532"
"FAM236D_P1"	"FAM236D"	"chrX"	"-"	"P1"	72808180	"ENST00000419795"
"FAM237A_P1"	"FAM237A"	"chr2"	"+"	"P1"	206642412	"ENST00000441223"
"FAM237A_P2"	"FAM237A"	"chr2"	"+"	"P2"	206643421	"ENST00000453816"
"FAM237B_P1"	"FAM237B"	"chr7"	"-"	"P1"	90321308	"ENST00000637645"
"FAM240A_P1"	"FAM240A"	"chr3"	"+"	"P1"	46612615	"ENST00000640551"
"FAM240B_P1"	"FAM240B"	"chr9"	"-"	"P1"	38720133	"ENST00000637493"
"FAM241A_P1"	"FAM241A"	"chr4"	"+"	"P1"	112145454	"ENST00000309733"
"FAM241B_P1"	"FAM241B"	"chr10"	"+"	"P1"	69630254	"ENST00000491890"
"FAM243A_P1"	"FAM243A"	"chr21"	"-"	"P1"	34401072	"ENST00000410005"
"FAM243B_P1"	"FAM243B"	"chr21"	"-"	"P1"	7770591	"ENST00000613894"
"FAM24A_P1"	"FAM24A"	"chr10"	"+"	"P1"	122910610	"ENST00000368894"
"FAM24B_P1"	"FAM24B"	"chr10"	"-"	"P1"	122879552	"ENST00000368898"
"FAM25A_P1"	"FAM25A"	"chr10"	"+"	"P1"	87020294	"ENST00000343959"
"FAM25C_P1"	"FAM25C"	"chr10"	"-"	"P1"	47999791	"ENST00000617224"
"FAM25G_P1"	"FAM25G"	"chr10"	"-"	"P1"	47490407	"ENST00000481177"
"FAM25G_P2"	"FAM25G"	"chr10"	"-"	"P2"	47491693	"ENST00000452267"
"FAM32A_P1"	"FAM32A"	"chr19"	"+"	"P1"	16185413	"ENST00000589852"
"FAM3A_P1"	"FAM3A"	"chrX"	"-"	"P1"	154516232	"ENST00000359889"
"FAM3B_P1"	"FAM3B"	"chr21"	"+"	"P1"	41316812	"ENST00000357985"
"FAM3C_P1"	"FAM3C"	"chr7"	"-"	"P1"	121396308	"ENST00000359943"
"FAM3D_P1"	"FAM3D"	"chr3"	"-"	"P1"	58657765	"ENST00000483787"
"FAM3D_P2(W)"	"FAM3D"	"chr3"	"-"	"P2(W)"	58666778	NA
"FAM43A_P1"	"FAM43A"	"chr3"	"+"	"P1"	194686680	"ENST00000329759"
"FAM43B_P1"	"FAM43B"	"chr1"	"+"	"P1"	20552583	"ENST00000332947"
"FAM45A_P1"	"FAM45A"	"chr10"	"+"	"P1"	119104113	"ENST00000472379"
"FAM47A_P1"	"FAM47A"	"chrX"	"-"	"P1"	34132314	"ENST00000346193"
"FAM47B_P1"	"FAM47B"	"chrX"	"+"	"P1"	34942796	"ENST00000329357"
"FAM47C_P1"	"FAM47C"	"chrX"	"+"	"P1"	37008397	"ENST00000358047"
"FAM47E_P1"	"FAM47E"	"chr4"	"+"	"P1"	76251723	"ENST00000510328"
"FAM49A_P1"	"FAM49A"	"chr2"	"-"	"P1"	16665828	"ENST00000381323"
"FAM49B_P1"	"FAM49B"	"chr8"	"-"	"P1"	129939811	"ENST00000519824"
"FAM49B_P2"	"FAM49B"	"chr8"	"-"	"P2"	130016556	"ENST00000523509"
"FAM50A_P1"	"FAM50A"	"chrX"	"+"	"P1"	154444141	"ENST00000393600"
"FAM50B_P1"	"FAM50B"	"chr6"	"+"	"P1"	3849373	"ENST00000648326"
"FAM53A_P4"	"FAM53A"	"chr4"	"-"	"P4"	1644953	"ENST00000467215"
"FAM53A_P3"	"FAM53A"	"chr4"	"-"	"P3"	1655408	"ENST00000489029"
"FAM53A_P2"	"FAM53A"	"chr4"	"-"	"P2"	1668905	"ENST00000461064"
"FAM53A_P1"	"FAM53A"	"chr4"	"-"	"P1"	1684261	"ENST00000308132"
"FAM53B_P1"	"FAM53B"	"chr10"	"-"	"P1"	124744338	"ENST00000337318"
"FAM53C_P1"	"FAM53C"	"chr5"	"+"	"P1"	138338266	"ENST00000505768"
"FAM57A_P1"	"FAM57A"	"chr17"	"+"	"P1"	732596	"ENST00000574327"
"FAM57B_P1"	"FAM57B"	"chr16"	"-"	"P1"	30030803	"ENST00000380495"
"FAM69A_P1"	"FAM69A"	"chr1"	"-"	"P1"	92961462	"ENST00000615519"
"FAM69B_P1"	"FAM69B"	"chr9"	"+"	"P1"	136712572	"ENST00000371692"
"FAM69C_P1"	"FAM69C"	"chr18"	"-"	"P1"	74457308	"ENST00000343998"
"FAM71A_P1"	"FAM71A"	"chr1"	"+"	"P1"	212624474	"ENST00000294829"
"FAM71B_P1"	"FAM71B"	"chr5"	"-"	"P1"	157166264	"ENST00000302938"
"FAM71C_P1"	"FAM71C"	"chr12"	"+"	"P1"	99647753	"ENST00000324341"
"FAM71D_P1"	"FAM71D"	"chr14"	"+"	"P1"	67189440	"ENST00000524532"
"FAM71E1_P1"	"FAM71E1"	"chr19"	"-"	"P1"	50476236	"ENST00000602178"
"FAM71E2_P1"	"FAM71E2"	"chr19"	"-"	"P1"	55363260	"ENST00000585734"
"FAM71F1_P1"	"FAM71F1"	"chr7"	"+"	"P1"	128709061	"ENST00000485070"
"FAM71F1_P2(W)"	"FAM71F1"	"chr7"	"+"	"P2(W)"	128715392	NA
"FAM71F2_P1"	"FAM71F2"	"chr7"	"+"	"P1"	128672292	"ENST00000641443"
"FAM72A_P1"	"FAM72A"	"chr1"	"-"	"P1"	206202873	"ENST00000367128"
"FAM72A_P2"	"FAM72A"	"chr1"	"-"	"P2"	206204065	"ENST00000367129"
"FAM72B_P1"	"FAM72B"	"chr1"	"-"	"P1"	121183911	"ENST00000369390"
"FAM72B_P2"	"FAM72B"	"chr1"	"-"	"P2"	121185539	"ENST00000471903"
"FAM72C_ENST00000369175(W)"	"FAM72C"	"chr1"	"-"	"ENST00000369175(W)"	143964978	NA
"FAM72C_P1"	"FAM72C"	"chr1"	"-"	"P1"	143971965	"ENST00000584486"
"FAM72D_P1"	"FAM72D"	"chr1"	"+"	"P1"	145096034	"ENST00000400889"
"FAM76A_P1"	"FAM76A"	"chr1"	"+"	"P1"	27725984	"ENST00000373954"
"FAM76B_P1"	"FAM76B"	"chr11"	"-"	"P1"	95789782	"ENST00000358780"
"FAM78A_P1"	"FAM78A"	"chr9"	"-"	"P1"	131276964	"ENST00000372271"
"FAM78B_P1"	"FAM78B"	"chr1"	"-"	"P1"	166166988	"ENST00000354422"
"FAM81A_P1"	"FAM81A"	"chr15"	"+"	"P1"	59438188	"ENST00000288228"
"FAM81B_P1"	"FAM81B"	"chr5"	"+"	"P1"	95392816	"ENST00000513529"
"FAM83A_P1"	"FAM83A"	"chr8"	"+"	"P1"	123182704	"ENST00000276699"
"FAM83B_P1"	"FAM83B"	"chr6"	"+"	"P1"	54846771	"ENST00000306858"
"FAM83C_P1"	"FAM83C"	"chr20"	"-"	"P1"	35292425	"ENST00000374408"
"FAM83D_P1"	"FAM83D"	"chr20"	"+"	"P1"	38926417	"ENST00000619304"
"FAM83E_ENST00000263266(W)"	"FAM83E"	"chr19"	"-"	"ENST00000263266(W)"	48613561	NA
"FAM83E_P1"	"FAM83E"	"chr19"	"-"	"P1"	48614816	"ENST00000593772"
"FAM83F_P1"	"FAM83F"	"chr22"	"+"	"P1"	39994954	"ENST00000333407"
"FAM83G_P1"	"FAM83G"	"chr17"	"-"	"P1"	19004764	"ENST00000388995"
"FAM83H_P1"	"FAM83H"	"chr8"	"-"	"P1"	143733779	"ENST00000388913"
"FAM84A_P1"	"FAM84A"	"chr2"	"+"	"P1"	14632722	"ENST00000295092"
"FAM84B_P1"	"FAM84B"	"chr8"	"-"	"P1"	126558391	"ENST00000304916"
"FAM86B1_P3"	"FAM86B1"	"chr8"	"-"	"P3"	12186386	"ENST00000530508"
"FAM86B1_P2"	"FAM86B1"	"chr8"	"-"	"P2"	12191844	"ENST00000529146"
"FAM86B1_P1"	"FAM86B1"	"chr8"	"-"	"P1"	12194120	"ENST00000340537"
"FAM86B2_P1"	"FAM86B2"	"chr8"	"-"	"P1"	12436343	"ENST00000262365"
"FAM86C1_P1"	"FAM86C1"	"chr11"	"+"	"P1"	71787514	"ENST00000346333"
"FAM89A_P1"	"FAM89A"	"chr1"	"-"	"P1"	231040230	"ENST00000366654"
"FAM89B_P1"	"FAM89B"	"chr11"	"+"	"P1"	65572538	"ENST00000316409"
"FAM8A1_P1"	"FAM8A1"	"chr6"	"+"	"P1"	17600388	"ENST00000259963"
"FAM90A1_P1"	"FAM90A1"	"chr12"	"-"	"P1"	8227587	"ENST00000307435"
"FAM90A26_P1"	"FAM90A26"	"chr4"	"+"	"P1"	9170409	"ENST00000512047"
"FAM91A1_P1"	"FAM91A1"	"chr8"	"+"	"P1"	123768439	"ENST00000521166"
"FAM92A_P1"	"FAM92A"	"chr8"	"+"	"P1"	93700561	"ENST00000518829"
"FAM92B_P1"	"FAM92B"	"chr16"	"-"	"P1"	85112472	"ENST00000539556"
"FAM95C_P1"	"FAM95C"	"chr9"	"-"	"P1"	38545372	"ENST00000625242"
"FAM95C_P2"	"FAM95C"	"chr9"	"-"	"P2"	38571152	"ENST00000637322"
"FAM95C_P3"	"FAM95C"	"chr9"	"-"	"P3"	38577207	"ENST00000637556"
"FAM98A_P1"	"FAM98A"	"chr2"	"-"	"P1"	33599291	"ENST00000238823"
"FAM98B_P1"	"FAM98B"	"chr15"	"+"	"P1"	38454127	"ENST00000397609"
"FAM98C_P1"	"FAM98C"	"chr19"	"+"	"P1"	38403146	"ENST00000588262"
"FAM9A_P1"	"FAM9A"	"chrX"	"-"	"P1"	8801337	"ENST00000543214"
"FAM9B_P1"	"FAM9B"	"chrX"	"-"	"P1"	9033310	"ENST00000362066"
"FAM9B_P3"	"FAM9B"	"chrX"	"-"	"P3"	9163201	"ENST00000494744"
"FAM9B_P2"	"FAM9B"	"chrX"	"-"	"P2"	9164606	"ENST00000472522"
"FAM9C_P1"	"FAM9C"	"chrX"	"-"	"P1"	13044584	"ENST00000542843"
"FAN1_P1"	"FAN1"	"chr15"	"+"	"P1"	30903915	"ENST00000561594"
"FANCA_P1"	"FANCA"	"chr16"	"-"	"P1"	89816647	"ENST00000389301"
"FANCB_P1"	"FANCB"	"chrX"	"-"	"P1"	14873059	"ENST00000398334"
"FANCC_P1"	"FANCC"	"chr9"	"-"	"P1"	95317709	"ENST00000289081"
"FANCD2_P1"	"FANCD2"	"chr3"	"+"	"P1"	10026440	"ENST00000287647"
